"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"08-dynamics-trajectory-ER"
"06/17/2026 17:45:00:344 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","recovery-distribution","power-law-lambda","lognormal-sigma","max-ticks","infection-prob","[step]","bs-out-prev-grp","bs-out-prev-mf","bs-out-count-S","bs-out-count-I","bs-out-mean-degree"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","15","0","0.0012563971256822314","2000","0","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","4","0.001","0.002080264771656525","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","12","0.0035","0.001441417190499135","1993","7","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","13","0.0025","0.0013768848361176986","1995","5","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","5","0.001","0.0019869245697169934","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","13","0.0035","0.0013768848361176986","1993","7","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","14","0.0025","0.0013152554126723696","1995","5","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","15","0.0025","0.0012563971256822314","1995","5","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","6","0.001","0.001897801315768652","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","14","0.0035","0.0013152554126723696","1993","7","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","7","0.001","0.0018127019674831063","1998","2","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","16","0.003","0.0012001842699379734","1994","6","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","15","0.004","0.0012563971256822314","1992","8","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","8","0","0.0017314425411407077","2000","0","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","17","0.003","0.0011464969389348406","1994","6","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","16","0.0035","0.0012001842699379734","1993","7","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","18","0.0025","0.0010952207489695713","1995","5","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","17","0.004","0.0011464969389348406","1992","8","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","18","0.0035","0.0010952207489695713","1993","7","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","19","0.003","0.0010462465770933278","1994","6","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","19","0.004","0.0010462465770933278","1992","8","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","20","0.002","9.994703121627335E-4","1996","4","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","20","0.0035","9.994703121627335E-4","1993","7","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","21","0.002","9.547926182777029E-4","1996","4","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","22","0.0015","9.121187099380565E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","21","0.003","9.547926182777029E-4","1994","6","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","23","0.0015","8.713581382912123E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","22","0.0025","9.121187099380565E-4","1995","5","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","24","0.0015","8.324245878807788E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","23","0.003","8.713581382912123E-4","1994","6","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","25","0.002","7.952356833408575E-4","1996","4","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","26","0.0015","7.59712805513481E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","24","0.0025","8.324245878807788E-4","1995","5","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","27","0.001","7.257809164970637E-4","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","25","0.0025","7.952356833408575E-4","1995","5","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","26","0.0025","7.59712805513481E-4","1995","5","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","28","0.001","6.933683931621748E-4","1998","2","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","29","0","6.624068686975172E-4","2000","0","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","27","0.0025","7.257809164970637E-4","1995","5","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","28","0.002","6.933683931621748E-4","1996","4","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","29","0.0015","6.624068686975172E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","30","0.0015","6.328310817738461E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","31","0.0015","6.045787329368184E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","32","0.0015","5.775903478615336E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","33","0.001","5.518091471219357E-4","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","34","0.001","5.271809221473666E-4","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","35","0.001","5.036539170565102E-4","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","36","0.0015","4.811787160758054E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","37","0.0015","4.597081362652255E-4","1997","3","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","38","5.0E-4","4.391971252891867E-4","1999","1","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","39","5.0E-4","4.1960266398432275E-4","1999","1","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","40","5.0E-4","4.0088367348901195E-4","1999","1","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","41","0.001","3.830009267119168E-4","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","42","5.0E-4","3.659169639284509E-4","1999","1","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","43","0","3.495960123050661E-4","2000","0","5.979"
"8","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","0","0.0025","0.0025","1995","5","5.979"
"8","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","1","0.002","0.0023876634125000002","1996","4","5.979"
"8","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","2","0.0025","0.002280416324733006","1995","5","5.979"
"9","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","0","0.0025","0.0025","1995","5","5.979"
"7","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","0","0.0025","0.0025","1995","5","5.979"
"8","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","3","0.003","0.002178024491910692","1994","6","5.979"
"9","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","1","0.002","0.0023876634125000002","1996","4","5.979"
