"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"06-baseline-ER-power-law-Tang"
"06/17/2026 16:24:51:169 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","power-law-lambda","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"56","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","16","1","16","0.0019375000000000004","0.10999999999999999","5.979"
"58","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","23","1","23","0.0010869565217391309","0.10999999999999999","5.979"
"59","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","6","1","6","0.0023333333333333335","0.10999999999999999","5.979"
"60","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","21","1","21","0.00211904761904762","0.10999999999999999","5.979"
"61","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","14","1","14","0.0014285714285714288","0.10999999999999999","5.979"
"63","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","13","1","13","0.0025","0.10999999999999999","5.979"
"62","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","10","1","10","0.0016000000000000003","0.10999999999999999","5.979"
"64","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","19","1","19","0.001736842105263158","0.10999999999999999","5.979"
"65","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","7","1","7","0.002142857142857143","0.10999999999999999","5.979"
"66","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","6","1","6","0.0015833333333333333","0.10999999999999999","5.979"
