"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"05-baseline-empirical-threshold-ER"
"06/17/2026 15:47:41:073 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"78","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","22","1","22","0.001522727272727273","0.12","5.979"
"76","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","110","1","110","0.0021454545454545467","0.12","5.979"
"79","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","24","1","24","9.583333333333335E-4","0.12","5.979"
"80","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","8","1","8","5.625000000000001E-4","0.12","5.979"
"81","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","8","1","8","0.0010625","0.12","5.979"
"82","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","8","1","8","8.125000000000001E-4","0.12","5.979"
"83","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","28","1","28","0.001035714285714286","0.12","5.979"
"84","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","12","1","12","8.750000000000002E-4","0.12","5.979"
"86","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","9","1","9","0.001166666666666667","0.12","5.979"
"85","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","60","1","60","0.0020500000000000015","0.12","5.979"
"87","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","19","1","19","0.001473684210526316","0.12","5.979"
"88","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","50","1","50","0.001400000000000001","0.12","5.979"
"89","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","15","1","15","0.0013666666666666669","0.12","5.979"
"90","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","27","1","27","0.002074074074074075","0.12","5.979"
"91","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","8","1","8","9.375E-4","0.12","5.979"
"92","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","29","1","29","0.0010517241379310348","0.12","5.979"
"93","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","32","1","32","0.0013125000000000005","0.12","5.979"
"96","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","3","1","3","6.666666666666666E-4","0.12","5.979"
"94","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","29","1","29","0.0019482758620689663","0.12","5.979"
"95","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","29","1","29","0.0017068965517241389","0.12","5.979"
"97","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","8","1","8","7.500000000000002E-4","0.13","5.979"
"99","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","7","1","7","9.285714285714287E-4","0.13","5.979"
"98","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","20","1","20","0.0015750000000000007","0.13","5.979"
"100","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","8","1","8","5.625000000000001E-4","0.13","5.979"
"101","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","38","1","38","0.0012763157894736846","0.13","5.979"
"102","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","27","1","27","9.259259259259264E-4","0.13","5.979"
"103","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","37","1","37","8.513513513513517E-4","0.13","5.979"
"104","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","31","1","31","0.0011290322580645167","0.13","5.979"
"105","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","35","1","35","0.0014000000000000006","0.13","5.979"
"106","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","29","1","29","0.0011206896551724144","0.13","5.979"
"107","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","30","1","30","0.0031166666666666678","0.13","5.979"
"108","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","11","1","11","0.0010000000000000002","0.13","5.979"
"109","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","38","1","38","0.0015921052631578956","0.13","5.979"
"110","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","17","1","17","0.0015588235294117653","0.13","5.979"
