"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"07-baseline-ER-lognormal-Tang"
"06/17/2026 17:16:22:190 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","lognormal-sigma","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"68","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","8","1","8","0.001375","0.10999999999999999","5.979"
"69","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","18","1","18","6.66666666666667E-4","0.10999999999999999","5.979"
"70","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","17","1","17","0.0012058823529411769","0.10999999999999999","5.979"
"71","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","5","1","5","0.0012000000000000001","0.10999999999999999","5.979"
"72","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","13","1","13","8.846153846153848E-4","0.10999999999999999","5.979"
"73","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","4","1","4","8.75E-4","0.12","5.979"
"74","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","5","1","5","9.000000000000001E-4","0.12","5.979"
"75","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","4","1","4","0.0013750000000000001","0.12","5.979"
"76","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","23","1","23","0.0017826086956521743","0.12","5.979"
"77","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","26","1","26","0.0010192307692307697","0.12","5.979"
"78","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","12","1","12","0.0013333333333333337","0.12","5.979"
"80","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","8","1","8","5.0E-4","0.12","5.979"
"79","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","35","1","35","0.0010000000000000007","0.12","5.979"
"81","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","6","1","6","8.333333333333335E-4","0.12","5.979"
"82","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","3","1","3","8.333333333333334E-4","0.12","5.979"
"83","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","10","1","10","0.0012000000000000001","0.12","5.979"
"84","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","5","1","5","9.000000000000001E-4","0.12","5.979"
"86","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","11","1","11","0.0013181818181818184","0.12","5.979"
"87","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","13","1","13","9.615384615384618E-4","0.12","5.979"
"88","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","3","1","3","8.333333333333334E-4","0.12","5.979"
"85","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","100","1","100","0.0011850000000000007","0.12","5.979"
"90","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","13","1","13","6.538461538461542E-4","0.12","5.979"
"89","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","111","1","111","0.0013288288288288298","0.12","5.979"
"91","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","12","1","12","0.0010000000000000002","0.12","5.979"
"92","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","13","1","13","0.0015384615384615387","0.12","5.979"
"93","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","6","1","6","0.00125","0.12","5.979"
"94","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","7","1","7","0.001142857142857143","0.12","5.979"
"95","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","32","1","32","0.0011093750000000006","0.12","5.979"
"96","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.024","20","1","20","0.0010250000000000003","0.12","5.979"
